inputName,size,a[size]
values_701,26,"{58, 117, 4, 64, -30, 105, 66, -12, 82, -86, 0, 38, 48, 43, 30, 101, 21, 16, -58, 19, 97, -100, -78, -84, 80, -126"
values_855,18,"{110, -123, 89, 40, 88, 15, -108, 29, 20, -106, 57, 93, 38, 93, -12, 35, 0, 96"
values_320,25,"{-119, 34, 91, 112, 40, 18, -53, 5, 87, 56, -57, -6, -84, -124, 15, -24, 78, 62, 12, 2, -115, 32, -111, 99, -125"
values_50,7,"{4, 56, -63, 0, -75, -60, 107"
values_918,6,"{118, 22, 122, 93, 79, -34"
values_615,10,"{-52, 14, -114, 83, -63, -42, -52, 39, -21, 65"
values_704,14,"{94, -84, 110, -79, -35, -67, -7, -124, 62, -116, 85, 4, -70, 114"
values_633,19,"{17, 61, 110, 32, 32, 43, -126, -121, -22, 24, 119, 40, 63, 116, 54, -80, -113, 82, 2"
values_847,6,"{22, 104, -83, -57, 57, 24"
values_602,16,"{59, 99, -42, -68, -18, 63, 71, -20, -125, -44, -60, -4, 107, 112, -36, -17"
values_399,12,"{112, -35, -17, -87, 91, 6, 102, -16, -29, 99, 59, 48"
values_22,12,"{-109, -119, -18, -113, -16, 48, 105, 113, 29, -74, 86, 55"
values_313,20,"{2, 85, -89, 1, -114, -5, 14, -126, -5, -21, 103, 117, 61, 61, 119, 57, 82, 116, -107, 40"
values_375,15,"{116, -125, 125, 92, -62, -84, 44, -111, 49, 39, 28, 98, 124, 37, -107"
values_963,18,"{58, 40, -54, 86, -33, 121, 14, -103, 122, 65, -64, -88, 98, -86, -111, -18, 16, -74"
values_168,20,"{93, 103, -49, 70, -78, 55, 46, 71, -117, -108, 53, -50, 108, -101, 80, 49, 87, 112, -9, 109"
values_226,16,"{-41, 119, 40, 108, -10, 66, 31, -8, 17, -49, -29, -79, 63, -87, -118, 86"
values_190,23,"{108, 85, 20, -120, 85, -100, -55, -6, 54, -83, -60, -55, 61, -95, 80, 92, -34, -18, 105, 92, 17, 8, 122"
values_429,11,"{123, 70, -56, -31, -101, -60, -54, 16, -14, -18, -20"
values_236,21,"{-66, 39, 39, 17, 125, 94, -4, -29, 32, -63, -97, -43, -112, 67, -38, -78, 121, 20, -80, -104, -5"
values_777,8,"{97, 75, 71, -46, -16, 118, -93, -98"
values_909,12,"{87, 94, 114, 98, 35, 118, 89, -116, -78, -77, 117, -117"
values_438,4,"{-124, -124, -102, 107"
values_607,6,"{16, -9, -57, -50, -21, 122"
values_717,2,"{51, -99"
values_782,24,"{21, 22, -52, 64, 122, -125, -13, 124, -15, 3, 20, -94, 6, 87, -121, -93, 89, 111, -50, 103, 27, -16, -87, 116"
values_258,17,"{-100, -54, 10, 84, 33, 74, 105, -85, 110, -78, -87, -23, -119, -52, 72, 41, -57"
values_872,5,"{47, -114, 18, 102, 31"
values_637,16,"{-19, 25, -77, -13, 58, 96, 90, 126, 68, 93, 91, -45, -53, 112, -6, -73"
values_746,3,"{51, -15, -89"
values_4,24,"{-108, -67, -100, 123, 106, 52, 28, 19, -27, 2, 26, -111, -106, 97, 72, 44, -4, -97, 89, -8, 15, -9, 33, -51"
values_345,22,"{-12, 124, -111, 31, 19, 92, 103, -92, -28, 4, -91, -35, 101, 2, 70, -98, 30, 83, 114, -103, 49, 31"
values_102,5,"{-68, -90, 102, -10, -27"
values_962,2,"{-122, -28"
values_356,10,"{-80, -122, -83, -17, -3, 2, 10, -77, 76, -101"
values_853,4,"{-92, 100, 51, 124"
values_849,24,"{119, -65, -86, 93, -89, 82, 10, 51, -103, -44, -92, -112, 84, 103, -34, 11, 80, 33, 51, 54, 71, -36, -83, 1"
values_814,15,"{77, 84, -41, -93, -19, 91, -88, 8, -114, 80, 15, 9, 25, 22, -122"
values_370,4,"{18, 16, -63, 102"
values_778,11,"{24, 91, -94, -100, 124, -92, 79, -66, -9, 16, 96"
values_458,21,"{109, 24, -39, 57, 34, 23, -96, -63, -126, 12, 56, -50, 122, -38, -83, 70, -44, 80, 39, 87, -63"
values_818,19,"{36, 12, -48, -62, -44, 50, 105, 126, 0, -28, -102, -102, 84, -55, -5, 101, -35, 81, 79"
values_119,24,"{75, -12, 49, 108, -76, -79, -37, -10, -72, 104, -100, 73, -73, -125, -105, 88, 124, -81, -110, -89, -121, 74, 12, 5"
values_373,14,"{116, 46, 79, -47, 63, -91, -24, 60, -31, 104, -28, -25, -52, 68"
values_351,4,"{-87, 72, 52, -116"
values_32,14,"{-5, -70, -79, 112, 86, 123, -115, 29, 8, 124, -54, 86, -119, -34"
values_770,13,"{-40, 82, 85, 43, 82, 87, -112, 26, 47, -119, -21, -59, -23"
values_371,17,"{101, -4, 9, 63, -100, -18, 60, -66, -90, -49, 77, 113, 68, -108, 71, 71, -16"
values_283,26,"{76, 92, -88, -85, -90, -25, 71, 67, 105, -42, -96, 61, 36, 37, -55, 79, 59, -90, -33, -86, -43, -61, -37, 26, 65, -16"
values_535,21,"{-54, 32, 0, -4, -15, 100, -117, -5, 12, -40, -110, 6, -97, -44, 70, -84, -17, 109, -116, -81, -56"
values_250,9,"{46, 99, 75, 44, 29, -76, -43, -29, -6"
values_132,12,"{11, 92, -74, -69, 102, 36, -4, -52, 13, -13, 78, 35"
values_649,9,"{28, 96, -77, -90, -63, 93, 73, 28, -55"
values_77,24,"{113, 45, 122, -96, 126, -67, -36, 88, 89, 26, -74, 64, -26, -30, -117, -33, -45, -41, 116, -22, 70, 90, 11, 43"
values_260,7,"{-98, -83, -71, 56, 34, -121, -77"
values_891,16,"{25, -9, -97, 45, -42, 71, 9, -124, 3, -91, 105, -94, 4, -32, 94, -72"
values_91,4,"{-77, -103, -20, -65"
values_137,17,"{-67, -32, 58, -55, 13, 5, -56, -29, 92, -88, -110, -85, 9, 11, 97, -15, 33"
values_42,14,"{-18, 52, -71, -26, -44, -82, 94, 87, 116, 109, -1, -56, 47, 97"
values_13,12,"{-48, 4, 9, -50, -69, -125, 82, 69, -3, 93, -11, -103"
values_577,4,"{61, 64, -5, 52"
values_41,6,"{-33, 65, 125, 42, -45, -71"
values_809,26,"{72, 96, 103, 126, 47, 66, 33, -31, 81, 37, -10, 115, 44, -97, 65, -111, 92, -44, 23, 12, -10, -81, -114, -34, -121, -68"
values_414,2,"{-37, -92"
values_360,5,"{-90, 75, -7, -83, -17"
values_386,15,"{-29, 115, 107, 44, 46, 48, 6, 20, -88, -66, -63, -70, 93, 33, 21"
values_158,23,"{23, -25, 69, 69, 17, 115, -122, 11, 63, 31, 21, -126, 99, 68, 121, -98, -24, -123, 125, 115, -53, -126, 119"
values_904,26,"{-49, 68, -18, 86, 20, 93, -52, -121, 0, 90, -71, 88, -120, -28, 77, 50, 95, 84, 20, 20, -126, 9, -105, -41, 40, -18"
values_480,15,"{-65, 65, -107, -118, 50, -103, -16, -123, 90, 114, -110, -100, -86, 84, -15"
values_647,4,"{67, 76, -37, -77"
values_104,9,"{35, -25, 119, -59, 36, -111, 64, 109, 33"
values_55,8,"{47, 12, -118, -100, 67, 103, -118, -82"
values_491,14,"{-32, 65, 21, -71, -33, -116, -93, 99, 48, -41, 80, 39, -62, 112"
values_391,4,"{-72, 117, -47, -33"
values_972,17,"{-96, -41, 52, 8, 43, 2, -24, -72, 124, 75, -36, 108, 125, 86, -54, 23, 103"
values_571,24,"{43, 103, 3, -93, 80, -74, -27, -54, 62, 66, -22, 7, 73, -59, 114, 121, -75, 114, -47, 30, -28, 80, 1, 40"
values_940,5,"{-74, 116, -2, -34, 32"
values_861,2,"{0, -86"
values_324,28,"{9, 92, 9, 63, 16, -48, 17, -71, 71, -102, 120, 44, -71, 0, 77, -11, -125, -38, 113, -60, 48, 88, 25, 80, -47, 106, -39, -30"
values_549,2,"{-28, -25"
values_170,22,"{72, 33, -81, -42, 30, -18, 92, -105, 107, 67, 104, -126, 3, -51, 89, -45, -97, 3, 58, -125, 125, 30"
values_269,13,"{-102, 72, -39, -120, -108, 60, 104, -60, -96, 106, 107, 9, -9"
values_442,5,"{-24, -112, -112, 85, -108"
values_520,16,"{-100, -40, -114, -7, 93, -9, -14, 112, -121, -8, 90, 0, 15, -117, 76, -109"
values_455,7,"{77, 0, -89, -88, -86, -34, 47"
values_31,27,"{-16, 9, 104, -16, -100, 24, 99, 21, 62, 42, 97, 60, 27, -34, 7, -12, 105, 34, 49, -99, 116, -68, -23, 78, -71, -44, 45"
values_971,11,"{37, -38, 120, -84, -103, 110, -114, -120, -83, -118, 82"
values_397,12,"{124, 49, 87, 41, -125, -74, -89, 14, -125, 108, 39, 43"
values_254,15,"{-126, -42, -116, -109, -47, -2, 118, -98, 11, 52, 67, 121, -47, 3, 55"
values_616,10,"{23, -124, -47, -78, -85, 20, -86, 82, -56, -62"
values_66,28,"{-60, 11, 73, 54, 35, 26, 122, -92, -45, -40, -85, 29, -80, 25, 20, 116, -101, 95, 61, 11, 77, 92, 29, 88, -31, 59, -29, -65"
values_943,28,"{-112, -109, 9, 111, -85, 87, 111, -98, 84, -9, 119, 67, 116, -115, 91, 29, 85, -62, -52, 113, -90, -26, -80, -81, 52, -114, 6, 9"
values_117,28,"{-36, 41, -31, 27, 10, 3, -120, -47, -42, -113, -42, -109, 93, -84, 44, -8, 28, -17, 109, -103, -48, 54, -6, 125, 84, 32, -102, 26"
values_451,25,"{-39, 102, -33, -55, -58, 126, 1, -1, -94, 34, 108, -94, 105, 91, 83, -106, 124, 31, -103, -86, 124, 36, -29, 78, -64"
values_643,18,"{-14, -107, -100, -107, -27, -53, 45, 7, -12, 118, -8, 4, -69, 32, 119, 40, 55, 112"
values_688,27,"{28, -2, -71, -53, -21, -113, 16, 108, 55, 118, 6, -7, -104, 66, 54, 8, 15, -93, 40, 10, -99, -60, -57, 16, 17, -27, 6"
values_569,2,"{-93, 12"
values_745,6,"{-78, -82, -31, 117, 100, 33"
values_65,15,"{-101, 23, 9, 99, 70, 33, -125, 50, 14, 40, 97, 17, -125, -25, -104"
values_980,13,"{-101, -5, 125, -60, -36, 85, 44, 4, -54, 34, -75, 105, -44"
values_982,23,"{-65, -59, -45, -66, 64, 72, 73, 76, 9, -7, 22, -11, -115, -38, 7, 55, -10, -60, -45, 95, -73, -37, 30"
values_62,27,"{-5, 29, 68, 10, -79, -124, -86, 73, -77, 120, -87, -4, 42, 12, 97, -87, -14, -52, 24, -98, -123, 114, -99, -22, -12, 98, 78"
values_789,10,"{-7, -120, -76, -13, 74, 4, 107, 77, 30, -11"
values_401,17,"{-46, -72, 118, -3, 121, -20, -120, -119, 10, -103, -30, 81, -39, -125, -3, -34, -115"
values_21,25,"{-93, 38, 78, 56, -84, -78, -31, -42, -96, -88, 10, 52, 112, 36, -101, 120, 23, -31, -58, 16, -97, -16, -31, -63, 86"
values_598,5,"{44, 97, 89, 64, -28"
values_273,13,"{97, 93, -92, 72, -4, -51, -74, -51, 31, 63, 28, 77, -77"
values_534,3,"{-8, 88, 44"
values_118,4,"{24, 6, -67, 72"
values_141,16,"{13, 37, 16, 72, 4, -68, 49, -51, -90, -82, 93, -43, -116, 123, -7, 44"
values_366,23,"{-81, 68, -90, -122, -54, 110, -89, 21, 60, -93, -92, -60, -94, -124, -105, 3, -91, -98, -62, -83, -15, -114, -66"
values_222,10,"{-121, 79, 94, 45, 20, 83, -108, 116, 2, -80"
values_876,25,"{-43, -116, -102, 11, -59, -55, -13, 42, 17, 70, 28, -37, -1, -44, 117, -125, -80, -41, -71, -101, 72, -125, 45, 8, -63"
values_700,22,"{-68, 87, -12, -61, -115, -28, 76, 77, 41, -40, -56, -70, 92, -111, 39, 55, -100, 104, -13, 28, 56, 12"
values_95,15,"{75, 80, -122, 69, 6, 97, 9, -121, 6, 89, 63, -21, 47, 112, -92"
values_806,8,"{-40, 71, 14, -107, -88, 54, 2, 86"
values_671,14,"{82, -37, -25, -119, 50, -70, -101, 14, -27, 54, -76, 63, -63, -88"
values_816,4,"{104, 57, 124, -126"
values_630,19,"{-110, -96, 15, -60, 79, 49, 4, 113, 112, -123, 38, -10, 58, -7, 82, 35, -54, 87, 1"
values_433,25,"{-104, -44, 20, 59, 51, -66, -6, 101, -77, 113, -24, 85, -26, 78, -106, 33, -66, -79, -56, -89, -29, -119, 108, -64, -43"
values_905,13,"{-37, 43, -111, 108, 109, -62, -9, -86, -95, 58, -41, -63, 77"
values_84,2,"{-36, -123"
values_233,16,"{29, 2, 63, -56, -112, -125, -114, 98, -42, 109, -16, -50, 106, -38, 41, -10"
values_664,21,"{8, 4, -58, -118, -53, 5, -85, -59, 110, -124, 16, 34, 12, 122, -46, -24, -119, -8, -16, 99, 64"
values_162,13,"{-78, 79, 49, 0, 51, -31, -61, 11, -29, -25, -25, 71, -116"
values_681,16,"{-7, -57, 25, -109, 118, -23, 86, -54, -86, -99, 66, -26, -103, 21, 10, 44"
values_542,28,"{97, -126, 124, -105, 55, -42, 102, 15, 11, -22, 21, -64, -115, -21, -15, -48, 111, 102, 113, -30, -50, -41, 92, 102, 64, -32, -109, 108"
values_169,27,"{-108, 80, 37, 86, 126, -54, 118, -12, 34, 84, 61, 53, 17, 38, 1, 91, -58, -22, -116, -89, -31, -62, 106, -37, 54, -74, -95"
values_660,12,"{-99, 103, 119, -64, 36, -11, 17, -19, -93, 118, -55, 0"
values_488,11,"{-4, 62, 53, 102, -88, 21, -34, 62, -18, 52, 8"
values_894,12,"{74, -75, 104, 65, -111, 74, -44, -119, 24, -50, 74, 71"
values_828,14,"{56, 0, -5, -111, 5, -32, 120, -65, -122, -98, 34, 105, 24, -33"
values_537,26,"{-31, 102, -35, 9, -95, -50, 31, 59, -28, 4, -33, -83, 6, 23, 84, 92, -20, -57, -1, 49, 58, 48, 59, -70, 105, -112"
values_845,13,"{-101, -71, -78, -116, -48, -107, 92, -113, -83, -3, 101, -102, 112"
values_584,9,"{97, 17, -92, -121, 126, 87, -120, -81, -110"
values_457,9,"{-29, -13, 69, -35, -26, -98, 78, 95, -9"
values_499,24,"{102, -113, 0, -66, 6, -88, 36, -74, -13, 60, -97, 117, 70, 87, 39, 40, 69, -14, -5, -78, -35, 112, -76, 78"
values_369,13,"{37, -65, 111, -58, 30, 120, 80, 35, -14, 34, 55, 125, -43"
values_58,27,"{122, -67, -66, -62, 10, 24, -118, -50, 10, -86, 87, -19, -125, -96, 114, 0, 4, -67, -56, -105, -124, 8, -96, -71, 38, 98, 79"
values_64,8,"{-123, -43, -79, -45, -126, -76, -26, 126"
values_196,4,"{-53, -115, -119, 24"
values_462,13,"{21, 56, 51, 117, 42, 29, 20, 113, 44, 115, -14, -124, -61"
values_343,11,"{-28, 83, 12, -57, -30, 5, -91, 55, 36, -30, -37"
values_262,5,"{-17, -108, -45, 119, -116"
values_966,11,"{86, 63, -123, 110, 36, -34, 42, 2, -86, 30, 12"
values_261,7,"{109, 57, -72, 3, 50, -116, 114"
values_349,25,"{9, 78, 106, 75, -24, -46, 66, 23, -113, -15, 66, -29, -45, -18, -77, 119, -14, 76, 2, 55, 116, -84, -29, -70, -93"
values_263,5,"{35, -102, -44, 14, 86"
values_801,5,"{-120, 108, -120, 21, 60"
values_292,23,"{76, 79, -3, -59, 82, 56, 73, -68, -72, -30, 58, -77, 85, 12, -52, -105, -108, -99, -34, 33, -72, 58, 102"
values_786,6,"{-93, -83, -27, 83, 68, -90"
values_101,7,"{-105, 9, 93, 1, -80, -79, 5"
values_691,13,"{-51, 35, 95, 3, 119, 76, 39, -22, -124, 42, -123, 3, -58"
values_926,19,"{107, -73, 0, -53, -7, -113, 35, 106, 70, 64, 48, 27, 17, 25, 98, -24, -73, -64, 32"
values_754,16,"{90, -17, 98, -69, 76, -35, 55, -63, 98, 26, -88, 123, -11, -64, 62, 17"
values_215,14,"{-78, 58, 113, -122, 63, 120, 74, -123, -49, 95, -32, 28, 87, -81"
values_977,4,"{42, 122, -118, -30"
values_850,21,"{-49, -18, 54, 4, -115, 78, 68, 46, -107, 102, -77, 50, 16, 29, 110, 102, 100, -66, -10, 78, 41"
values_646,17,"{-35, -68, 78, 94, -77, -68, 59, 77, 87, 111, 64, 112, -103, -68, -22, 32, -110"
values_628,13,"{-9, 6, 23, -2, 44, -6, -39, 46, -104, -109, -45, -66, 9"
values_941,28,"{-113, -54, 59, 85, -34, -56, -30, -64, -42, 46, -75, -105, -16, -113, 14, -5, 117, -85, 91, -20, 52, 13, 38, 9, -112, -65, -14, 37"
values_353,25,"{-15, -19, -15, 115, 67, 38, 114, -93, 116, -2, 68, 77, 113, 29, 119, 85, -103, 94, 12, 44, 125, 118, -69, -120, 84"
values_690,6,"{-31, 0, 10, 54, 111, -92"
values_961,10,"{-111, 29, 125, 98, 35, -46, 15, -102, -25, -125"
values_331,18,"{15, 68, 8, -57, -120, 30, 66, -28, -2, 11, 39, 93, 37, 50, -94, 77, -61, -18"
values_377,9,"{60, -16, -10, -119, -21, 6, -13, 81, -84"
values_128,13,"{116, -36, -101, 6, -8, 71, 62, 31, 80, 124, 114, -115, -91"
values_336,12,"{56, -15, 78, 46, -115, 11, -37, -40, 95, 32, -62, 22"
values_632,17,"{116, -15, -96, 3, 89, 55, 78, 122, -82, -12, 45, -40, -5, -11, 23, -12, -67"
values_166,14,"{-66, -104, 6, 106, 45, 66, 25, -47, 40, 43, 29, -2, -32, -13"
values_744,28,"{122, 29, -123, 36, -65, 122, 58, -108, 3, -118, -110, 28, -125, -25, -31, -14, 107, 21, 19, -43, -125, 31, -88, -48, 12, -89, 85, -105"
values_837,24,"{26, -70, -67, 30, 90, -47, -96, -122, 98, -35, -78, 119, 57, -15, -65, -94, -123, -92, 98, -59, 49, 19, 11, -72"
values_807,24,"{117, -8, 12, -98, -12, 19, -16, -97, 7, 63, -74, -31, -101, -11, 34, 78, -34, -7, -4, -16, -74, -21, 48, -74"
values_838,20,"{-120, -65, 82, -118, -70, 13, 67, 0, -37, -87, -10, 36, 40, 39, -81, 50, 99, 91, -84, 70"
values_723,15,"{67, -100, -66, -15, 106, -112, -101, 51, -10, 26, -36, -8, 73, -120, 24"
values_874,22,"{-8, -43, -32, 63, -116, 42, -5, -124, 40, -75, -49, -113, 55, 66, 48, 1, -21, 119, 56, 94, 95, -95"
values_627,22,"{68, 113, -52, -86, -88, 120, 73, 58, 40, 103, 64, 77, 3, -96, -31, -50, -78, -47, 88, 39, 73, -102"
values_555,21,"{29, 2, 67, 26, 109, 6, 114, 76, -17, -116, -36, 70, -3, 83, -50, 104, -75, -2, -37, 119, 88"
values_446,16,"{-23, 34, 83, 44, 39, -121, 125, -53, 11, -51, 98, 104, -89, -115, 58, 37"
values_716,12,"{42, -31, -59, 8, -14, -111, -115, 73, 25, 85, 36, 60"
values_240,11,"{-58, -74, -98, -9, 79, 96, 70, 85, 87, -85, -25"
values_140,25,"{96, -120, 73, -15, -97, -12, -44, -90, 112, 104, -112, 116, 22, 80, 85, -114, -108, 78, -1, 41, 88, -30, -92, -64, 55"
values_317,22,"{-80, 19, -109, 26, 16, -54, 44, -39, -15, -7, -97, -96, -97, -13, 114, -31, 14, 89, 124, -63, 9, -54"
values_83,23,"{113, -54, -61, -16, 37, 36, -87, 79, 97, 22, 80, -60, -43, -58, -98, 13, 76, -59, -117, -74, 86, 78, -95"
values_696,10,"{36, -27, 110, 118, -18, -20, 6, -51, 58, -42"
values_413,14,"{-26, 96, 65, -33, 21, -54, 36, 100, 8, 49, -3, -19, -80, -82"
values_94,13,"{73, 69, 90, 98, -19, -30, 90, -55, -20, 85, 4, -121, -108"
values_937,16,"{24, -5, 109, -53, 111, 63, -10, -58, -102, 79, -68, -18, -51, 52, -48, -61"
values_199,12,"{-82, -72, 6, -67, 55, 46, 100, -51, 58, -32, 67, 96"
values_596,17,"{27, -11, 104, -121, -54, -82, 63, -117, -22, 84, 90, 47, 35, -92, -12, 107, 72"
values_0,8,"{34, 112, 61, -112, 115, 56, -112, 125"
values_953,28,"{-61, -17, 94, -63, 104, 100, 57, 25, 20, 0, 3, 24, 68, 115, -72, -79, -98, 121, 115, 112, 80, 93, 114, -77, -27, 47, 77, -15"
values_906,10,"{-12, 99, 112, 80, -26, 83, 109, 54, 75, -126"
values_742,25,"{-121, 20, -41, 54, 122, -59, 54, -101, -108, -45, 11, 21, -30, 2, -54, 79, -45, -81, 43, 12, 96, -86, 0, -111, -111"
values_396,10,"{83, -67, -38, -122, 67, -81, -87, -41, 64, -106"
values_159,25,"{-124, -125, -51, 1, -81, -29, -66, -101, 122, 46, 2, 56, 122, 23, -23, 32, -125, -66, 56, -14, 49, 44, -8, -78, 43"
values_238,19,"{-78, -21, -72, 27, -97, 1, 113, 126, -65, -25, 63, -47, 35, -56, 28, -2, -103, 70, 31"
values_136,9,"{25, -66, 64, -115, 6, 81, -63, -32, 60"
values_915,12,"{61, -12, 98, -67, -123, 107, -67, 112, 79, -3, 2, 68"
values_99,12,"{-126, 39, -121, 30, 107, -2, -46, -47, 60, -75, -95, -74"
values_771,21,"{17, 106, -26, 16, -6, 72, 59, -102, -121, -25, -77, 26, -62, -75, 93, 100, 58, -71, -31, 95, 123"
values_96,27,"{-97, 10, -13, -78, 103, 25, -51, 93, -77, 89, 90, 123, -74, 20, 33, -33, -21, -36, -88, -109, 54, -41, -108, 89, 66, -39, -5"
values_768,23,"{-74, -83, 59, 37, -28, -26, -74, -77, -107, 10, -77, -11, 94, -85, 80, 32, 91, -80, -50, 113, -124, -5, -28"
values_67,27,"{123, 37, 65, 76, 90, -7, -103, -55, 110, 40, -47, 39, 112, 77, 72, 126, 65, -69, -53, -4, -42, 90, -126, 55, 2, -26, -80"
values_565,26,"{33, 13, -72, 47, 2, -85, 22, 99, -69, -34, 65, 44, -79, 91, -66, -123, -14, -100, -56, -111, 66, -111, 46, -49, -71, -28"
values_848,11,"{-32, -59, 107, 33, 5, -10, 12, 90, 39, 44, -57"
values_114,23,"{113, 110, 95, 15, -29, 65, -25, 116, 105, -90, 69, 31, 71, 28, -19, 8, -51, 4, -116, -84, 90, 98, 119"
values_61,12,"{5, 71, 44, -4, 60, 57, 77, -111, 120, -111, -18, -1"
values_511,20,"{-109, -48, 93, -111, -120, 35, 96, 65, 81, -52, 5, -18, 103, -42, -49, 89, 125, -7, -24, 72"
values_729,10,"{74, -102, 17, 76, 69, 22, -47, -111, 44, -50"
values_460,8,"{103, 113, -17, -65, -119, 76, -23, 117"
values_832,5,"{-74, -120, -126, 73, -57"
values_348,3,"{-57, -20, 92"
values_182,14,"{111, 79, -51, 43, -51, 55, -121, 37, 61, 86, 103, 67, -69, 68"
values_986,24,"{45, 32, -29, 53, 69, 90, -48, -65, -71, -57, 10, -15, 35, -93, 10, 29, 88, -49, -107, 122, -112, -97, 0, -46"
values_180,7,"{-111, -41, 115, -94, 102, -31, 35"
values_930,26,"{-68, -75, -2, -66, -21, -59, 24, -26, -45, -123, 117, 31, 90, 10, 80, 54, 91, 50, 124, -30, -110, -31, 30, -110, -80, -95"
values_274,26,"{94, 85, 17, 113, 110, 8, -44, 8, 21, -91, 106, 117, -68, 3, -101, -85, 48, -43, 59, 21, -3, -65, -60, -54, 39, 94"
values_309,26,"{77, 30, -93, 66, 77, 26, 103, -28, -91, -93, 31, -123, 20, -54, 49, 82, 59, -9, -36, 90, 36, -40, 78, 5, -78, 124"
values_496,6,"{82, 39, -69, -66, -105, 69"
values_165,4,"{61, -54, 50, -112"
values_553,8,"{7, -97, 6, -20, -117, -40, -28, -12"
values_870,12,"{69, -89, -126, -58, -120, -9, 17, -111, -18, 83, -105, 86"
values_795,13,"{-91, 104, 38, -23, -55, -94, 86, 6, 107, -103, -1, 87, 22"
values_361,12,"{90, 99, 100, 114, 55, -3, -7, 111, 24, 59, 84, 32"
values_302,5,"{-9, -47, 83, 67, 66"
values_586,23,"{-125, -35, 109, 12, -91, -79, -82, -80, 75, 20, 5, -23, -20, 9, -110, 115, 48, 32, -67, 59, -86, 80, -42"
values_880,10,"{-97, 49, 11, -112, 79, 84, -47, 21, 23, -113"
values_665,23,"{97, 69, 46, -65, -87, 122, -63, -81, 120, -105, 67, -24, -33, 93, -53, -38, -14, -37, -106, 11, 1, -70, -12"
values_527,28,"{-113, 46, -125, 118, -57, 82, 83, 42, 59, -37, -70, -23, -121, -18, -88, 29, 28, -42, 104, 16, -53, 34, 1, -32, 21, 90, -50, -59"
values_372,8,"{89, -98, 82, 109, -15, -24, -98, -79"
values_382,26,"{70, 6, -36, -51, -5, -104, 104, -63, 95, 70, -107, -32, -38, 54, -99, 107, 63, 98, -27, -126, 51, 43, -8, -71, -21, 50"
values_43,21,"{32, -34, -2, -104, 69, 99, 47, -107, -123, 22, 33, -126, 87, 7, -60, 117, -64, 86, 87, -31, -116"
values_935,2,"{-51, 20"
values_2,5,"{94, -90, 55, 67, -49"
values_790,15,"{2, -25, -108, -103, -42, 113, 61, 24, -113, 13, 13, -90, 10, -126, -37"
values_152,16,"{-2, 113, -122, -2, 112, 79, -87, -18, -12, -97, -81, 26, -80, -84, -36, 48"
values_871,10,"{-47, -42, 61, -86, 110, 113, 98, -47, -113, 112"
values_434,4,"{16, -36, 67, -16"
values_775,9,"{-121, -37, 100, -72, -107, -29, 87, -6, 104"
values_500,5,"{-8, -119, 51, 88, -116"
values_220,6,"{-40, 68, 57, 48, 112, 2"
values_875,26,"{-85, 126, -93, -16, 59, 8, 11, 117, 39, -92, -59, -4, 26, 79, -109, 59, 62, 121, -12, 25, -121, 61, 59, -8, 25, 77"
values_249,13,"{-82, -87, 22, -32, -91, -80, -48, -43, -50, 56, -48, 39, -118"
values_808,26,"{0, 15, -67, 53, 46, 84, 79, 3, -120, 2, -75, -8, -30, -126, 1, -38, 48, -101, 50, 29, -38, -21, -19, 46, -40, -81"
values_859,26,"{-18, -14, 37, 73, -1, -17, 126, -120, -118, 38, -77, 45, -88, 38, -91, 77, 7, 88, -113, -16, -105, 76, 75, 109, 102, 65"
values_539,11,"{19, -58, 86, 76, -19, 36, -70, 28, 51, -27, 14"
values_635,25,"{5, -78, 70, -17, 63, 4, -18, 71, 67, 88, 51, 83, 57, -115, -59, 107, -107, -71, -47, -30, -71, -48, -14, 95, 35"
values_311,24,"{48, -58, 114, -48, -79, -61, -102, 9, -87, 22, 28, 103, -63, 67, -5, 25, -119, -18, 27, -11, 76, 47, -122, 36"
values_183,18,"{0, 35, -12, -102, 78, -94, -95, -39, 4, -63, -30, -78, -74, 113, -75, -72, -102, -94"
values_54,7,"{53, 98, -69, 12, -112, -85, -16"
values_390,19,"{109, 83, -105, -42, 54, 124, -70, 21, 69, -14, 66, 44, -10, 111, 38, 110, 122, 44, 114"
values_890,22,"{22, 47, 4, -108, -112, -46, -68, 91, -126, -18, 81, -19, -119, 63, -87, -111, -106, 112, -114, -88, -63, -113"
values_711,12,"{103, -106, 122, 113, 82, 124, 81, -79, 21, -64, -8, -44"
values_471,13,"{-92, -85, -12, 100, -37, -85, -87, -34, -39, 12, 48, -37, -22"
values_995,18,"{-24, 68, 19, 124, -58, 21, 62, 36, -74, -77, 69, 99, -118, 55, -56, 62, 81, -109"
values_443,15,"{-88, 102, 72, -103, -29, -117, -20, 70, -71, -103, -83, 104, -25, 113, 64"
values_464,27,"{-8, -16, 8, 121, -90, 36, 104, 42, -115, -18, -105, 62, 0, -95, -99, 78, 51, -23, -94, -115, -3, -100, -66, 67, 71, -99, -58"
values_774,17,"{-54, 98, 32, 0, 95, -113, -98, 77, 25, -69, 37, -28, -117, 44, -44, -57, 65"
values_200,14,"{-74, 23, -61, 82, 5, -97, -23, 73, -80, -102, -84, -111, 115, 57"
values_747,9,"{36, -44, -39, -31, -77, -79, -76, -126, -126"
values_758,26,"{122, -78, 34, -53, -126, 54, -19, 89, 38, -41, 91, 61, -16, 112, 20, 50, -35, -64, 114, 91, 49, 106, -40, 57, 38, -60"
