inputName,n,arr[n]
values_683,22,"{119, 79, -58, 7, 67, -78, -63, -73, 68, -44, -60, 28, -65, 116, 86, -90, 14, -105, 67, -42, 77, 33"
values_376,16,"{-35, -83, -113, -63, -42, 52, 23, 104, -12, -73, -17, -10, -20, 101, -34, -36"
values_877,18,"{-21, 85, -38, 51, -24, -87, 40, 97, -42, -50, -104, -55, -101, -123, 32, 10, 42, -113"
values_654,13,"{-62, -1, -77, 9, -122, -79, 107, 56, -105, 72, 59, -68, 46"
values_508,28,"{-31, 119, -71, -11, -58, 44, -122, -34, 20, 19, 88, -101, 24, -112, 82, -27, 118, -40, -8, -31, 127, 54, 43, 18, -43, 12, 53, 10"
values_332,17,"{-101, -96, 26, 106, 99, -34, -70, 114, -69, -70, 117, -78, 50, 74, -39, -26, -102"
values_281,13,"{-23, -69, 96, -125, -57, 97, -21, -75, 38, 51, 7, -56, 124"
values_381,12,"{-100, -20, 103, 111, -78, -125, 46, -61, -19, -55, 111, 119"
values_769,6,"{-15, 48, -64, -5, 30, -27"
values_701,11,"{-65, 50, 127, 27, 82, -55, -72, 119, -68, -65, -81"
values_855,21,"{-67, -100, -110, 55, 62, -120, 20, -19, 45, -111, -26, -14, -11, 35, 24, 8, 86, 100, -45, 48, -87"
values_320,15,"{119, -98, 7, -63, 60, 26, -100, -81, -27, 101, 23, -93, 97, 92, 53"
values_50,14,"{-56, 84, 25, -2, 66, 22, 18, 73, -47, 106, -46, -16, -87, 64"
values_918,25,"{41, 80, 1, 32, -20, 121, -42, 1, -1, 61, -98, -91, -100, -47, -70, -74, 47, 104, 71, 43, -34, -73, -43, 102, 101"
values_615,8,"{-16, 63, 45, 73, 124, 42, -75, 81"
values_704,14,"{-102, 27, 103, -27, -66, 13, -40, -35, -11, 69, -25, 21, 50, -44"
values_633,4,"{-86, 111, -115, -89"
values_847,27,"{-67, -123, -31, -7, 15, 52, -1, -66, 18, -105, 0, 65, -31, -100, -49, -28, 48, 124, 120, -75, -126, 114, -41, 35, 84, -11, -27"
values_602,15,"{-19, 86, 93, 117, -8, 0, -86, -118, 33, -71, -39, -62, -118, 12, 114"
values_399,12,"{-97, -19, 78, 82, 31, -66, 16, -59, 104, -87, 57, 53"
values_22,17,"{94, 90, -47, -15, 98, -52, -57, 39, -39, 106, 121, -64, -122, 16, 87, -41, -41"
values_313,15,"{-42, -114, 28, 26, 66, -105, -32, 52, -60, 98, 73, 107, 119, -115, 21"
values_375,22,"{114, -19, -44, -45, -12, -31, -47, 52, -125, 111, 15, 107, -7, -11, -58, 71, 111, -104, 124, 74, -119, -19"
values_963,3,"{38, 115, -51"
values_168,3,"{-103, -40, 54"
values_226,13,"{-110, -5, -93, 11, 30, 93, -116, 120, -70, 25, 36, 112, 91"
values_190,26,"{-47, 43, -115, 89, -26, 80, 66, -126, 125, 126, -41, -117, -120, 60, 117, -114, 113, -89, -55, -81, -61, 94, 38, 120, -126, 63"
values_429,3,"{58, 36, -109"
values_236,15,"{11, -12, -51, -28, -125, 39, 89, -29, -63, -72, -64, 73, -59, 61, -32"
values_777,3,"{57, -36, 65"
values_909,25,"{125, 29, -43, 105, -38, 51, -32, -90, 105, 47, 104, 90, 95, -50, -89, 5, 117, -19, -11, -116, 91, 115, -103, -86, 18"
values_438,4,"{-8, 27, -119, 57"
values_607,25,"{20, -110, -16, -36, -2, -34, -84, -107, 115, 62, 7, -69, -90, 70, 14, -41, 47, 25, 22, -25, -51, -35, 97, -56, 82"
values_717,26,"{-80, -98, 123, -15, -115, -65, -32, 88, 5, -82, 87, 34, 77, 10, 82, -99, -1, -106, 27, 95, 29, 56, -1, 11, -124, 46"
values_782,18,"{45, -5, -68, -23, 75, -73, -127, -1, 75, -106, 31, -46, -102, 52, -65, 34, -62, 29"
values_258,25,"{124, 35, 108, -89, -16, -66, -3, -11, 108, -46, 43, 48, -43, 89, 24, 112, -110, -117, 23, 118, 16, 92, 91, -55, -46"
values_872,7,"{73, -30, -63, 77, 122, 23, -101"
values_637,13,"{106, -31, 77, -121, 5, 95, 23, -32, 126, -7, -115, -71, 98"
values_746,14,"{59, 49, 105, 105, -22, -14, 103, 49, -4, 113, -15, -18, -86, -11"
values_4,3,"{-83, 124, -122"
values_345,3,"{23, -70, 31"
values_102,27,"{11, -90, 6, -32, 72, 57, -51, -92, -78, 99, 40, 64, 125, 90, 77, 72, -50, 52, -87, -52, 61, -120, -5, -91, 78, -24, -118"
values_962,11,"{-93, 73, -22, -59, -37, 41, 112, 114, -116, 80, 76"
values_356,10,"{83, -33, 72, 85, 123, -83, 115, -88, -68, -35"
values_853,5,"{-52, 37, -74, -98, 63"
values_849,24,"{-51, 80, -105, 18, -52, -105, -67, 31, 47, 90, 45, 53, 126, 108, 122, -23, -77, -76, 99, 44, -110, -124, 19, -62"
values_814,3,"{-56, 62, 116"
values_370,8,"{-36, -122, -120, -110, -36, 26, 63, -47"
values_778,9,"{64, 124, -38, 116, -15, 83, -98, -11, 120"
values_458,27,"{-49, 3, 2, -33, -76, 94, 89, 26, 17, -104, 78, 70, 78, 21, -7, 60, -53, 73, 124, 32, 87, -108, -85, 16, 18, 13, 12"
values_818,21,"{56, -101, 5, -86, -90, 126, 36, -109, -45, 84, -68, 120, 123, 82, -113, 103, 3, 81, -2, 29, -45"
values_119,28,"{-119, 57, 117, -39, 104, 70, 52, -54, -73, -32, -69, 19, 43, 111, -60, 61, 49, 71, 59, 36, 67, 85, 119, -90, 110, -16, -100, -23"
values_373,18,"{49, 124, -47, -11, 77, -126, 65, -34, -75, 9, 123, 75, 64, -93, -38, -8, 90, -74"
values_351,28,"{-76, 54, 17, 21, -39, -12, -10, 43, 48, -124, 65, 14, -77, 65, 119, 108, -115, -106, 92, 59, 85, 88, 26, -113, 55, -34, 122, -1"
values_32,21,"{116, -81, 16, 44, -90, 102, -102, 74, -37, -105, 0, -43, -17, -69, 13, -1, 85, -68, 99, 53, -90"
values_770,27,"{119, 118, -102, 62, -104, -62, 65, -38, -40, 13, -72, 2, -101, 45, -67, 110, 105, 0, -48, -34, 14, 28, 124, -33, -90, 56, -19"
values_371,25,"{121, 15, -99, -59, 77, -18, -87, -110, -55, -108, 67, 40, -93, -77, 74, -37, -39, -3, -20, 106, -72, 66, 9, -106, 117"
values_283,26,"{-105, 28, 60, 37, -26, 102, 69, -107, -39, -2, 52, 22, 18, 82, -78, -94, 48, -66, -122, -119, -92, 22, 66, -42, -79, 6"
values_535,24,"{50, 125, 104, 8, 55, -30, 91, 11, 30, -10, -119, 69, -68, 53, 88, -73, 106, 45, 113, -30, 94, 33, 50, 122"
values_250,24,"{-54, 40, -48, 52, 76, -106, -88, 28, -125, 31, -68, 15, -15, -42, -64, 1, -30, -44, 2, -85, -4, 63, 16, -97"
values_132,14,"{60, -127, -99, -3, 51, 59, -57, -86, 120, 75, -113, 67, -45, -120"
values_649,25,"{54, -41, 48, -123, -53, 51, 116, 116, 91, -33, -125, -106, 71, -94, 123, 10, -99, -68, -95, 48, -22, 109, -108, 87, -122"
values_77,28,"{99, 44, -69, 100, 89, 49, -69, -95, -77, -88, 53, -9, -43, 73, -126, 15, 52, 70, 32, -6, 79, 99, 94, -99, 108, 34, -20, -127"
values_260,18,"{89, -115, -43, -104, -114, 63, -65, -107, -75, 56, -77, -21, -19, 8, 44, 120, 60, -88"
values_891,3,"{58, -124, 112"
values_91,7,"{-53, 117, 115, -107, -54, -61, -59"
values_137,11,"{4, 100, -96, 47, 23, -21, -35, 119, -30, 77, 96"
values_42,3,"{87, 115, 84"
values_13,16,"{112, -17, 118, -22, 90, 92, 44, -32, -102, 9, 84, -63, -96, 51, 88, -35"
values_577,8,"{-122, 63, 89, 6, 25, -38, -67, 9"
values_41,15,"{60, 112, 72, -3, 124, 86, -43, 4, 35, 86, -10, -32, 4, 33, -64"
values_809,25,"{68, 83, -110, -71, -109, 114, 27, -15, -13, -66, -43, 8, 66, 56, -18, -99, -57, -96, 14, 69, 86, 65, -120, -22, -5"
values_414,5,"{17, -27, -35, 45, -33"
values_360,13,"{27, -15, 69, 24, 27, 4, 77, -76, 34, -78, 127, -78, 29"
values_386,10,"{-62, 100, 74, -74, -19, -21, -49, -19, -8, -54"
values_158,24,"{-63, -87, -88, -42, 125, 72, -102, 124, 89, -58, 59, -117, -126, -82, -3, -1, -4, 36, -8, -108, -68, -74, -120, -11"
values_904,26,"{113, 89, 125, -124, -71, -84, 72, -8, -72, 84, 74, -7, 6, 107, 62, -58, -60, 40, -5, 50, -56, 7, -38, -11, 98, 108"
values_480,9,"{-24, 72, 25, -110, -118, -124, -110, 118, 29"
values_647,9,"{80, -70, -104, -69, -73, 48, -16, -20, -66"
values_104,26,"{-26, -114, -50, 93, -27, 102, 117, -109, 58, 124, -9, -7, -78, 90, -33, 13, -51, -15, 90, -19, -23, -91, -67, -29, -50, 118"
values_55,14,"{-16, 110, 77, -10, 67, 6, 65, -61, -41, -5, -65, -17, 112, 58"
values_491,20,"{-102, 93, -70, 28, 79, 110, -60, 105, 42, 62, 79, -28, 43, 121, -7, 17, -36, 25, -96, -124"
values_391,17,"{-111, 118, -83, 88, 54, -100, -71, -101, 30, -5, 23, -49, -15, 97, 5, 96, -62"
values_972,26,"{15, -66, -47, -64, 38, -110, -110, -117, -4, -69, 18, 99, -23, 57, -99, -2, -85, -113, -92, 4, -52, -118, -54, 114, -89, 53"
values_571,23,"{92, -57, -45, -6, -1, 94, 117, 34, -51, -46, -100, 98, 113, 66, 78, 70, -86, -98, 64, 77, -88, -52, 82"
values_940,20,"{-127, 59, -119, 21, -90, -81, 41, -124, -93, -31, -30, 95, 30, 94, -7, 117, -92, -102, 19, 74"
values_861,12,"{-69, -1, 54, -125, -54, 85, -60, -124, 30, 30, 79, 2"
values_324,11,"{61, -76, 53, 69, 50, 26, 21, 57, -2, 81, 8"
values_549,2,"{-65, 56"
values_170,27,"{-109, 16, -65, -118, 0, -52, 81, 19, -59, -61, -83, -11, 71, 120, -122, 63, -40, -63, 38, -72, -8, 89, -66, 100, 78, -36, 98"
values_269,6,"{123, 26, -51, -49, 110, -50"
values_442,28,"{-40, 8, 49, -120, 26, -94, 120, 16, -12, -96, -109, -103, 115, 75, 31, -101, 89, 17, 92, 67, 54, -40, -113, -48, 33, -43, -96, 120"
values_520,4,"{-18, -36, -26, -46"
values_455,17,"{-98, 108, -89, 13, 115, -26, -59, 49, 32, -28, -9, -14, 10, -101, 15, 103, 106"
values_31,25,"{63, -32, 116, 38, 66, -77, -85, -22, 103, -37, 14, 35, 99, -51, -67, 76, -117, 30, -61, -99, 120, 47, 20, 115, -31"
values_971,26,"{76, -9, -60, -59, -29, 19, -77, -3, -25, 12, -70, 119, -97, 9, 89, -123, -44, 11, -14, 51, 36, 125, 125, -58, -3, 50"
values_397,6,"{67, 6, 72, 3, -122, -49"
values_254,7,"{0, -73, 2, -37, -102, 74, -63"
values_616,14,"{-62, 8, 56, -96, -17, 80, -5, -100, -52, -31, -54, -30, 68, -71"
values_66,27,"{-93, -38, -57, 84, -90, 23, -37, -114, -92, 43, 94, 73, 113, 13, 23, 23, -92, -3, 103, 35, -61, 17, -84, 60, -65, -62, -43"
values_943,24,"{-86, -36, 97, -118, -31, -15, -62, -84, 55, 57, -26, -115, 32, -93, -54, -101, -33, -127, 110, 39, -80, 21, 5, -7"
values_117,6,"{-64, -112, 66, -88, -29, 45"
values_451,17,"{-12, 93, 19, -120, -15, 112, 74, -31, -126, 63, 29, -121, 45, -77, 100, 121, 67"
values_643,13,"{-47, 75, 16, -92, -88, 69, -10, -111, -58, -74, -24, -99, -24"
values_688,10,"{99, 116, 34, 79, -22, 63, -45, -106, 59, -76"
values_569,14,"{77, 56, 58, 115, 31, -105, -16, 15, 9, 99, 6, 124, -44, 10"
values_745,22,"{110, 81, 70, 60, -101, 75, 84, -122, -69, 1, 96, 18, -37, 28, 120, -63, 77, -53, 23, -107, 12, 8"
values_65,13,"{7, -82, -17, -30, 36, -102, -6, -6, 25, 93, -40, -62, -10"
values_980,28,"{124, 51, -109, 71, -45, 16, 61, 20, -12, 123, -112, 121, -110, -115, -117, -92, 24, -70, -49, 69, 9, -26, -104, -6, 88, -77, -124, 12"
values_982,2,"{-68, -33"
values_62,16,"{-102, -127, -126, 12, 44, 20, -3, 112, 24, 17, 50, -82, -43, 89, 83, 111"
values_789,4,"{64, -47, 100, 26"
values_401,16,"{-109, 97, 21, 111, -126, -97, 112, 41, -97, -33, -24, 41, -122, -19, -9, 123"
values_21,17,"{10, 1, -107, -82, 76, -34, -71, -99, -103, 51, -53, -97, 63, 22, 97, 75, -89"
values_598,13,"{17, 106, -124, -21, -69, -83, 82, 105, 80, 79, -43, 9, 61"
values_273,11,"{27, -44, -91, -92, -41, 24, 68, -95, 51, 6, 102"
values_534,12,"{49, -101, 103, -112, -28, 30, -100, 75, 115, 100, -43, -98"
values_118,4,"{21, -68, 48, 45"
values_141,6,"{121, -56, -83, -86, 82, 70"
values_366,4,"{117, -80, 89, -126"
values_222,14,"{105, 3, -28, 19, -92, -54, 32, 13, -124, 15, 42, -10, -66, 26"
values_876,18,"{43, 119, -23, 70, 2, -106, -100, -85, -7, -50, 84, -117, -69, -92, -108, 103, 109, 66"
values_700,20,"{-113, -39, 22, 118, -53, 113, 71, 50, 8, -77, -108, -25, 63, -59, 104, -65, 90, -78, 79, 20"
values_95,9,"{-126, -9, -27, 126, -54, 92, -51, -58, -7"
values_806,9,"{-68, -77, 58, 93, 38, -91, -3, -75, -56"
values_671,26,"{-27, -102, 99, -19, 14, -38, 99, 71, -37, 114, -72, -45, -104, 93, -48, -29, 69, 120, 34, -36, -102, 120, 60, 97, 100, 54"
values_816,7,"{64, 18, -39, 123, -49, 102, 116"
values_630,14,"{53, -122, 101, 91, -57, 37, -26, 25, 66, 11, -82, 45, -54, 63"
values_433,4,"{57, 93, 100, -10"
values_905,25,"{79, -67, 18, 41, -54, 39, 28, -71, 25, -49, -38, 37, -99, 122, -63, 25, -22, -29, 41, 37, -19, 106, 95, 17, -39"
values_84,4,"{89, 28, -116, 81"
values_233,26,"{-81, 6, 13, -61, 111, 95, -53, -112, -18, -83, 75, 27, 50, 44, 35, 77, -77, 45, 113, 34, 100, 122, -11, -62, -81, -101"
values_664,21,"{81, -117, -120, 28, -1, -83, -106, 0, 81, -16, -23, 37, 91, 84, 45, -63, -66, -82, 93, 44, -108"
values_162,16,"{-124, -116, -35, -15, 93, 99, 85, -76, 40, -57, 5, -47, 67, -58, 59, 11"
values_681,20,"{-78, -10, 87, 80, 43, 89, 90, -50, 116, -40, 35, -7, -6, -3, -115, -109, -124, -79, -120, 127"
values_542,28,"{-67, 25, 50, -17, -83, 119, 2, 100, 72, 40, -112, 59, 97, -3, -100, -16, 98, -51, -115, -55, 10, -93, 109, -62, 127, -7, -76, -82"
values_169,15,"{65, 60, -63, 38, 42, -114, -28, 96, 124, -72, -94, 107, -98, -72, 69"
values_660,16,"{108, 63, -119, 117, 56, 70, 109, -14, -59, -35, -86, -5, -12, 91, 33, -118"
values_488,17,"{-104, -122, 29, -12, -23, 3, 64, -45, -9, -58, 11, 57, 75, -127, 67, -121, -80"
values_894,11,"{91, -108, 50, 116, -48, -8, -100, 51, 81, -33, 23"
values_828,17,"{-107, 122, -10, 62, 107, -78, 112, 116, 82, -100, 62, -31, 57, 97, 89, 5, -103"
values_537,18,"{-77, -103, 126, 98, 70, 66, -54, -36, -25, -39, 6, 64, 48, -29, -56, 43, -42, -69"
values_845,19,"{-91, 17, 64, 121, -31, -21, -99, 17, 63, 11, -69, 41, 83, -35, 97, -7, -106, 88, 76"
values_584,20,"{-125, 98, 114, 17, -76, 51, 126, 45, 18, 96, -6, -112, -94, -84, 15, -31, 6, -8, -39, 30"
values_457,12,"{5, 21, 97, -94, -106, -116, 68, 6, -98, 13, 98, 79"
values_499,20,"{-35, 19, 6, -115, 105, 59, 85, 99, 43, 25, -19, -60, -5, 26, 79, -102, 23, 44, -84, 127"
values_369,23,"{-18, -80, 59, -75, -8, -2, -122, 122, -15, 117, -81, 3, -104, 80, 8, 50, 77, 53, -22, -100, 70, 116, -107"
values_58,25,"{-94, 111, -24, -14, 17, -27, -13, -2, -77, 43, 126, 63, 86, 119, -29, 102, -114, 42, -27, 20, 71, 59, 102, 53, -118"
values_64,5,"{67, -53, -53, 34, -28"
values_196,3,"{16, 13, -9"
values_462,26,"{-97, -1, 53, 14, 82, -127, 79, 25, -76, -36, 100, 113, 120, 75, -57, 123, 74, 107, -16, -78, 79, 123, 82, 87, 101, 106"
values_343,9,"{-117, -91, -121, -58, 119, 15, 26, -15, -110"
values_262,21,"{-79, 33, 107, 70, 52, 91, -118, 107, -38, 18, -9, -44, -31, 83, -8, -72, -99, -88, 48, 64, 92"
values_966,28,"{35, 17, -26, -72, -55, -98, 125, -27, 29, -61, 14, -118, 106, -112, -7, 48, 90, -23, -27, -32, -36, -38, -87, -38, 92, 24, -1, -65"
values_261,18,"{125, 123, 68, 35, 38, 67, 52, -123, -46, 89, -101, -89, 91, -97, -9, -99, -96, -49"
values_349,14,"{-96, 30, -17, -46, -122, 61, -67, 100, -88, 15, 13, -56, 95, -4"
values_263,14,"{76, -84, -88, -82, 86, 4, -94, -55, -60, 82, -126, 51, 84, 36"
values_801,26,"{-22, -93, 61, 78, -103, 39, -125, 116, 9, -96, -86, 26, 13, 98, 107, -124, 117, 127, 107, 15, -84, -28, 101, 45, -46, -83"
values_292,17,"{-54, -60, -17, -84, 36, -67, -51, -70, -19, 67, -39, 99, -66, 112, -51, 81, 7"
values_786,11,"{-46, 4, 58, -115, 97, 15, -94, -59, -73, 53, 6"
values_101,2,"{-104, 33"
values_691,13,"{27, -91, -66, 7, 10, -60, 60, 127, -7, 39, 26, -74, 53"
values_926,18,"{17, 78, -74, 105, -38, 124, 107, -98, 7, 106, 79, -23, -123, 7, 47, 98, 114, -63"
values_754,2,"{-119, -106"
values_215,26,"{-26, 26, -7, -84, -47, 70, -101, 109, 3, -49, -95, 79, 10, 24, -117, -83, -56, 77, 10, 86, 23, 79, 46, -62, -104, -75"
values_977,21,"{-34, -111, 39, 92, 25, 47, -19, -11, 72, -8, 107, 36, -45, 56, 102, 23, -57, -30, -1, -29, 22"
values_850,17,"{29, 66, -105, 79, 107, -63, 117, 74, 83, -26, 72, 9, 61, 64, 59, 56, -99"
values_646,28,"{28, -123, 58, -2, -16, -52, -53, 116, -94, 83, -79, -106, -9, 127, -18, -21, -42, -3, 18, 2, -99, -118, 90, -69, -107, -86, 83, 26"
values_628,21,"{-99, 91, -94, 124, 92, -66, 54, 114, -106, 26, 80, 2, -63, 24, 3, 58, -35, -91, 112, -20, -108"
values_941,5,"{29, -18, 39, 119, -26"
values_353,9,"{32, 72, 21, 16, 43, -108, -55, 59, -76"
values_690,2,"{-90, 124"
values_961,4,"{-41, 16, -56, 6"
values_331,19,"{3, 22, 53, 51, 122, 20, 113, -126, 14, 112, -48, 106, -4, 116, 21, -12, -27, 69, 88"
values_377,7,"{21, -126, -65, 57, -33, 117, 4"
values_128,25,"{19, -64, 40, 16, 68, 10, 65, -114, 28, 73, 68, -29, -17, 59, 1, -97, 87, -17, 105, 10, 9, -35, -99, -112, 113"
values_336,16,"{-97, -13, -71, 106, -119, -35, 38, 15, 32, 93, -70, 91, 91, 5, -112, -88"
values_632,17,"{-92, -127, 4, -112, 112, -52, 39, -108, 98, 73, 15, 36, 92, 112, 39, 3, 3"
values_166,17,"{-15, -8, 12, 77, -90, 21, -50, -31, 40, -9, -49, 65, -18, -31, -125, 92, -36"
values_744,2,"{-52, -125"
values_837,14,"{112, 122, -72, 67, 14, 42, 97, -47, 123, -64, -8, 45, -79, 75"
values_807,4,"{-19, -89, 59, -28"
values_838,28,"{-60, 102, 62, 101, -92, -38, 52, -70, -61, -34, 46, 12, -102, 43, -120, -38, 31, -101, 59, 28, -57, 9, -38, 29, -114, -81, -8, 49"
values_723,6,"{9, 89, -16, 104, -112, 100"
values_874,25,"{-52, -42, -74, -65, 119, 91, -73, 125, -120, 78, -58, -76, 13, -52, -56, 83, -124, 58, -29, -13, -114, 114, 84, -81, -26"
values_627,4,"{123, -10, -37, -91"
values_555,25,"{-8, 87, 112, -94, -3, 74, -107, 10, 101, -16, -10, 41, -38, -31, -113, 123, 82, 88, 84, 48, 61, -59, 2, 39, -2"
values_446,16,"{104, -116, -72, -14, 62, -95, 75, 2, -48, 114, 22, 19, 97, -97, 24, 109"
values_716,25,"{110, -87, 78, 15, 73, -32, -22, 100, 115, 86, -116, 4, 51, -52, -104, -68, 57, 75, 69, -69, -53, 25, 32, 70, -83"
values_240,8,"{21, 121, -97, 24, -64, 48, 49, 58"
values_140,17,"{-36, 46, 6, -94, 5, 104, 64, -110, -26, 70, -3, -125, -94, 75, 66, 18, -67"
values_317,28,"{-28, -103, -92, -53, 116, 66, 126, -106, -88, -119, 126, -12, -13, -16, -82, 71, -5, -73, 111, -62, 110, 0, 27, -28, -77, 115, -23, -61"
values_83,16,"{-38, 19, -21, 32, 98, -30, 24, 101, 34, 117, 116, -41, 114, -107, 11, 31"
values_696,14,"{40, 77, 53, 48, -25, -36, -102, 66, -38, -57, -30, 120, -52, -25"
values_413,19,"{112, -83, 109, 54, 113, 57, 103, 79, 88, 37, 61, 12, 106, 22, 52, -87, -54, 74, -104"
values_94,12,"{23, -78, 14, 106, -18, -72, 47, 1, 88, 78, 119, -37"
values_937,21,"{-117, 102, -119, 5, 123, -56, -49, -52, -119, 45, 68, 26, 39, -5, -31, -61, 127, -59, -25, 1, -21"
values_199,22,"{-44, -46, -95, 93, -30, 110, -112, -92, 49, 1, 125, 77, -126, 114, -55, -82, 96, 22, -97, 71, -67, 116"
values_596,16,"{-121, 22, -50, 12, -49, -126, 88, -82, -61, -60, 62, -106, -89, -100, 58, -10"
values_0,11,"{-95, 52, -57, 42, 33, -9, 13, -81, 32, 83, -126"
values_953,20,"{-115, 1, 99, -6, 19, 16, -103, -82, 107, 118, 10, 122, 94, -45, 34, -3, 38, -84, -107, -13"
values_906,10,"{-69, -68, -72, 5, 105, 13, 127, -55, 54, 95"
values_742,15,"{57, 39, 3, -43, -15, -117, 125, 0, 22, -91, 83, -56, 23, 79, 81"
values_396,10,"{-102, 81, -17, 58, -49, 12, 72, -32, 111, 106"
values_159,26,"{-21, 118, -91, -33, -86, -26, 39, -38, -1, 51, -73, -22, 109, -105, 18, -88, -86, 82, 35, -35, -62, 102, 66, -43, -96, 96"
values_238,2,"{99, 40"
values_136,27,"{32, 112, 52, -23, 73, -101, 65, -88, -80, -85, -13, -1, -32, 78, 0, 73, -72, -12, 111, 96, 48, -40, 79, 101, -105, -104, 70"
values_915,22,"{-114, 96, 84, 54, -3, -36, -26, 76, -127, -81, -5, -44, -35, 29, -52, -84, -34, 104, 56, 69, -71, 61"
values_99,16,"{98, -102, -110, -20, -27, -18, 114, 2, -110, -99, 106, -18, -62, -77, -92, 38"
values_771,27,"{91, -105, -94, -116, 26, -6, 126, 125, -114, 50, 5, 124, -102, 34, 3, 100, -84, 115, 57, 117, 25, 61, -97, -97, 56, -115, 62"
values_96,3,"{11, -40, -13"
values_768,10,"{126, 20, 48, -92, 38, -20, -72, -98, 78, 115"
values_67,23,"{97, -46, 13, -8, -87, 88, 41, -4, 98, -98, 118, 82, 122, -116, 24, 125, -126, -45, 24, -56, -117, 56, 1"
values_565,12,"{-95, -6, 74, 83, 58, 87, 28, -72, 114, 57, 41, -76"
values_848,19,"{125, -102, -59, -113, 1, -94, -23, -123, 99, 18, 89, 79, 46, -47, -30, 126, -62, -29, 46"
values_114,11,"{9, -52, -62, 70, 39, 67, -35, -16, 103, -60, 32"
values_61,3,"{82, -81, -124"
values_511,21,"{78, 86, -95, 20, -73, -100, -118, 118, -52, 98, 26, 13, -40, -47, -117, 49, 125, 4, 16, -110, 83"
values_729,16,"{5, -112, 12, -74, -63, -8, -59, -85, -78, 76, 17, 11, -1, 93, 93, -86"
values_460,18,"{37, -6, -98, 36, -36, -104, -18, -7, -90, -21, 68, 68, -61, -75, 107, -41, 109, -14"
values_832,22,"{-55, 77, -17, -37, 49, -72, -50, -88, 54, 50, -62, -123, -83, -27, 26, -5, -44, -26, 23, -54, -15, 23"
values_348,11,"{23, -71, 122, 7, 15, 13, -30, -50, -106, -40, -37"
values_182,12,"{-99, -76, -88, -43, -52, -63, -95, 72, -29, -30, -22, 95"
values_986,6,"{-42, 17, -67, -78, -24, -106"
values_180,26,"{-126, -3, -120, -3, -91, 8, 118, -54, 37, -7, -108, -110, 2, -53, -33, 111, 75, -116, 9, -6, -67, 48, 64, -19, 108, -32"
values_930,3,"{-109, 47, 12"
values_274,12,"{-58, 4, 21, 104, 3, 31, -97, 96, -95, 16, 73, -90"
values_309,23,"{21, 80, 82, 42, -17, 113, -92, -4, 91, 105, 119, 47, 47, 71, -7, 55, 19, -118, -96, 125, -115, -39, 113"
values_496,25,"{-91, -126, 63, -88, -119, 95, 69, 11, -97, -28, 123, 116, 26, -84, -101, 104, 59, -58, -76, -32, -103, 83, 67, 33, 37"
values_165,7,"{75, -94, -67, -86, -42, 16, -64"
values_553,2,"{83, 7"
values_870,28,"{86, -57, -28, -42, -15, -86, -46, 77, -40, -120, -82, 6, -119, 54, 0, -126, -72, -41, 44, -77, -24, -39, 68, 15, 57, -90, -79, 19"
values_795,5,"{-105, -22, 104, -85, -31"
values_361,23,"{-94, -82, 97, 33, -32, -26, -78, -44, 6, 20, -114, -4, -24, -58, 109, -83, -86, -64, 52, 44, -106, -123, -124"
values_302,22,"{-18, 1, -101, -99, -40, -28, -119, -91, 60, -77, 88, 62, 72, -70, -34, 39, 97, -67, 41, 60, 104, -19"
values_586,17,"{79, 122, 0, -70, -42, -27, 15, -58, -88, -122, -89, 3, 20, -16, -100, 67, -127"
values_880,14,"{71, 91, 89, 71, 78, -32, 23, -39, -76, -46, 96, 1, 103, -113"
values_665,17,"{30, 74, -1, 96, -107, -31, -107, 44, 74, 2, 3, 16, 102, -33, -61, -28, 48"
values_527,7,"{-27, -73, -71, -55, -10, -125, 53"
values_372,23,"{76, -80, -28, -53, 42, 12, 23, -104, -57, 118, -53, 55, 51, 64, 20, -50, -52, 106, 95, -41, -14, 110, 88"
values_382,19,"{-4, 86, 14, -66, 55, -122, -60, 95, -47, 19, 118, 43, -121, -8, -123, -111, 81, 110, 127"
values_43,15,"{-34, -36, 127, 29, 86, -25, -56, 29, -121, -4, -5, -36, 65, -83, -15"
values_935,4,"{-49, -92, -112, 32"
values_2,23,"{21, 41, 11, 12, 34, 30, 27, -96, -78, 63, 48, -117, 122, 101, 51, -90, -9, -113, -14, 59, 20, 83, -72"
values_790,28,"{50, 118, 79, 39, 79, -32, -71, -92, 69, -77, -126, 68, 112, -109, 110, -43, -5, -119, -9, 47, -39, 58, 117, -8, 101, -126, -18, -9"
values_152,4,"{-85, -24, 43, -115"
values_871,16,"{49, -4, 86, -36, 62, -103, -101, 46, -30, 18, -66, 24, -10, 118, 116, -64"
values_434,19,"{-65, 28, 83, -81, -101, -125, 59, 46, -19, 108, 126, -65, -29, 104, -96, 85, 20, -13, -10"
values_775,23,"{-55, -114, -114, -8, 89, 12, 121, -32, -28, -104, 37, 1, -6, -111, 38, 93, 127, 46, 9, 22, -30, -73, 61"
values_500,12,"{11, -2, 92, -123, -92, -61, 107, 115, 60, -33, -19, -96"
values_220,22,"{-73, -116, -72, -10, -49, -66, 38, 123, -99, -20, 40, 48, 107, -19, 55, -23, -51, 95, -124, 82, -62, -37"
values_875,27,"{90, -43, -13, 43, 88, 1, -14, -17, -118, 97, -119, 52, 63, 111, -16, 48, 38, -61, 117, 92, 44, -65, -17, 93, -104, 127, 74"
